id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
72,572399661790588928,219385404,0,0,2,0,0,0,0,0,136,18,0,0,1,0,55.05,10029,1065,96,18685,470747,157,1559,1,0,0,0,301.95,9.42,0.11,15,1,0.5316
74,572399662600097792,109100886,0,0,1,0,0,0,0,0,115,15,0,0,1,0,47.55,5683,2165,79,92,67632,131,1860,1,0,0,0,36.36,2.62,0.38,7,1,0.3354
90,572399687115800576,23691425,0,0,1,0,0,0,0,0,136,19,0,0,1,0,45.21,1482,6,20,0,42775,64,2183,1,0,0,0,19.59,247.00,0.00,19,1,0.4367
93,572399689833693184,23691425,0,0,1,0,0,0,0,0,96,14,0,0,1,0,45.21,1482,6,20,0,42779,64,2183,1,0,0,0,19.60,247.00,0.00,19,1,0.4367
110,572399724701081601,21161888,0,0,1,0,0,0,0,0,91,11,0,0,1,0,68.14,21704,16903,498,2305,63887,157,2204,1,0,0,0,28.99,1.28,0.78,9,1,0.5063
111,572399729038008320,19370687,0,0,7,0,0,0,0,0,100,13,1,0,1,0,46.68,6342,271,386,3,110991,28,2230,1,0,0,0,49.77,23.40,0.04,9,1,0.5063
129,572399750810501121,1348436072,0,0,1,0,0,0,0,0,102,17,0,0,1,0,58.65,960,472,18,3211,6635,104,689,1,0,0,0,9.63,2.03,0.49,10,1,0.4810
138,572399757299200001,3044714849,0,0,1,0,0,0,0,0,76,8,0,0,1,0,22.05,36,147,0,0,136,70,12,0,0,0,0,11.33,0.24,4.08,9,1,0.5063
144,572399787590328322,746738360,0,0,1,0,0,0,0,0,136,19,0,0,1,0,44.94,962,567,22,25,31255,160,935,1,0,0,0,33.43,1.70,0.59,14,1,0.4810
150,572399799997112320,68700959,0,0,1,0,0,0,0,0,136,23,0,0,1,0,44.15,3447,2,164,0,131085,116,2015,0,1,0,0,65.05,1723.50,0.00,9,1,0.5063
159,572399742887464961,16370927,1,1,1,125,0,0,0,0,109,13,0,1,1,0,57.36,4962,2351,144,180,42825,135,2355,1,0,0,1,18.18,2.11,0.47,9,1,0.5063
168,572399708208947201,26863892,2,3,42,12922,0,0,0,0,56,6,0,0,1,0,67.16,75426,11,2922,0,28943,0,2167,0,1,0,0,13.36,6856.91,0.00,9,1,0.5063
