id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
5,572399674738393092,2837074959,0,0,0,0,0,0,1,0,67,5,0,0,1,1,49.57,788,2014,66,1,34025,17,134,0,1,0,0,253.92,0.39,2.56,9,1,0.5063
11,572399679641546753,81237494,0,0,0,0,1,0,0,1,115,15,0,0,1,0,39.91,1521,3,59,0,220757,126,1970,1,0,0,0,112.06,507.00,0.00,6,1,0.3354
12,572399676856483841,2891887866,0,0,0,0,0,0,0,0,136,16,0,0,1,0,50.99,465,206,43,2,76432,152,116,1,1,0,0,658.90,2.26,0.44,14,1,0.4810
13,572399677028622336,396986369,0,0,0,0,0,0,0,0,88,12,0,0,1,0,44.44,548,159,3,0,40650,0,1226,0,0,0,0,33.16,3.45,0.29,9,1,0.5063
22,572399682585956352,2288639149,0,0,0,0,0,0,0,0,136,13,0,0,1,0,43.98,225,192,13,1,113947,11,414,0,0,0,0,275.23,1.17,0.85,11,1,0.5000
26,572399758465228800,1436770610,0,0,0,0,0,0,0,0,109,8,3,0,2,0,45.37,286,506,21,3,324240,0,654,1,0,0,0,495.78,0.57,1.77,15,1,0.5316
30,572399680753176576,80440340,0,0,0,0,0,0,0,0,41,3,0,0,1,0,59.21,99713,124,1243,20,267042,107,1973,1,1,0,0,135.35,804.14,0.00,9,1,0.5063
33,572399688525074432,23691425,0,0,0,0,0,0,0,0,132,15,0,0,1,0,45.21,1482,6,20,0,42777,64,2183,1,0,0,0,19.60,247.00,0.00,19,1,0.4367
36,572399682770481153,2469773186,0,0,0,0,0,0,0,0,108,15,0,1,1,0,41.06,248,486,10,3,33814,108,307,1,0,0,0,110.14,0.51,1.96,9,1,0.5063
43,572399654228365312,1611858558,0,0,0,0,0,0,0,0,119,15,0,0,2,0,49.18,1667,1447,54,0,37102,104,589,1,0,0,0,62.99,1.15,0.87,9,1,0.5063
45,572399708020326400,1578584863,0,0,0,0,0,0,1,0,119,12,8,0,1,1,53.74,1769,234,51,10,304819,36,602,1,0,0,0,506.34,7.56,0.13,9,1,0.5063
61,572399737393057792,283274190,0,0,0,0,0,0,0,0,94,11,0,0,2,0,45.94,455,1684,9,1,19113,0,1416,0,0,0,0,13.50,0.27,3.70,15,1,0.5316
72,572399661790588928,219385404,0,0,2,0,0,0,0,0,136,18,0,0,1,0,55.05,10029,1065,96,18685,470747,157,1559,1,0,0,0,301.95,9.42,0.11,15,1,0.5316
74,572399662600097792,109100886,0,0,1,0,0,0,0,0,115,15,0,0,1,0,47.55,5683,2165,79,92,67632,131,1860,1,0,0,0,36.36,2.62,0.38,7,1,0.3354
84,572399758486081536,1979520834,0,0,0,0,0,0,0,0,136,22,3,0,1,0,54.69,2593,1714,93,8,84442,45,497,0,1,0,0,169.90,1.51,0.66,6,1,0.3354
90,572399687115800576,23691425,0,0,1,0,0,0,0,0,136,19,0,0,1,0,45.21,1482,6,20,0,42775,64,2183,1,0,0,0,19.59,247.00,0.00,19,1,0.4367
93,572399689833693184,23691425,0,0,1,0,0,0,0,0,96,14,0,0,1,0,45.21,1482,6,20,0,42779,64,2183,1,0,0,0,19.60,247.00,0.00,19,1,0.4367
97,572399767055048704,928404570,0,0,0,0,0,0,0,0,116,16,1,0,1,0,46.82,707,82,31,32,145576,122,847,1,1,0,0,171.87,8.62,0.12,8,1,0.3987
107,572399772025421824,2558662296,0,0,0,0,0,0,1,0,138,16,4,0,1,1,45.33,284,9,17,0,50661,158,265,1,0,0,0,191.17,31.56,0.03,14,1,0.4810
110,572399724701081601,21161888,0,0,1,0,0,0,0,0,91,11,0,0,1,0,68.14,21704,16903,498,2305,63887,157,2204,1,0,0,0,28.99,1.28,0.78,9,1,0.5063
111,572399729038008320,19370687,0,0,7,0,0,0,0,0,100,13,1,0,1,0,46.68,6342,271,386,3,110991,28,2230,1,0,0,0,49.77,23.40,0.04,9,1,0.5063
119,572399772255985665,928404570,0,0,0,0,0,0,0,0,132,17,1,0,1,0,46.82,707,82,31,32,145577,122,847,1,1,0,0,171.87,8.62,0.12,8,1,0.3987
122,572399791692382208,7491782,0,0,0,0,0,0,0,0,136,18,3,0,1,0,57.32,1354,275,145,2,347299,96,2787,1,0,0,0,124.61,4.92,0.20,14,1,0.4810
126,572399792078249984,7491782,0,0,0,0,0,0,0,0,136,19,3,0,1,0,57.32,1354,275,145,2,347300,96,2787,1,0,0,0,124.61,4.92,0.20,14,1,0.4810
127,572399795668557824,24737903,0,0,0,0,0,0,1,0,127,16,0,1,1,1,45.43,218,342,10,24,567,79,2177,1,1,0,0,0.26,0.64,1.57,11,1,0.5000
132,572399796234805248,2752949005,0,0,0,0,0,1,0,0,139,14,1,1,1,0,49.62,150,0,20,0,132951,105,193,1,0,0,0,688.87,150.00,0.00,14,1,0.4810
135,572399800039026688,928290186,0,0,0,0,0,0,0,0,84,12,0,0,1,0,37.80,78,131,5,38,46413,127,847,1,0,0,0,54.80,0.60,1.68,8,1,0.3987
